[Byte Buddy] DISCOVERY jdk.jfr.internal.EventWriter [null, module jdk.jfr, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.jfr.internal.EventWriter [null, module jdk.jfr, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.jfr.internal.EventWriter [null, module jdk.jfr, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY jdk.internal.vm.PostVMInitHook [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.internal.vm.PostVMInitHook [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.internal.vm.PostVMInitHook [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY jdk.internal.vm.PostVMInitHook$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.internal.vm.PostVMInitHook$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.internal.vm.PostVMInitHook$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY sun.launcher.LauncherHelper [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE sun.launcher.LauncherHelper [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE sun.launcher.LauncherHelper [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.launcher.Launcher [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.launcher.Launcher [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.launcher.Launcher [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.realm.ClassRealm [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.realm.ClassRealm [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.realm.ClassRealm [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.realm.NoSuchRealmException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.realm.NoSuchRealmException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.realm.NoSuchRealmException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.ClassWorldException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.ClassWorldException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.ClassWorldException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.ClassWorld [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.ClassWorld [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.ClassWorld [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.launcher.ConfigurationException [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
